,CoinGeckoID,week_m,week_sd,week_es,month_m,month_sd,month_es,season_m,season_sd,season_es,year_m,year_sd,year_es
0,0x,0.026816043,0.187870988,-0.238370814,0.140130051,0.481441024,-0.432521385,0.280561438,0.74900614,-0.495590256,0.815154101,1.3326296,-0.518130328
1,1inch,0.173930266,0.378719013,-0.376910455,1.629542526,1.408917776,-0.307822366,0,0,0,0,0,0
2,aelf,0.019791145,0.155066753,-0.310436249,0.082991253,0.33395878,-0.485397998,0.137518279,0.511953243,-0.638008786,0.1325661,0.738822657,-0.696590438
3,aion,0.014842393,0.164489823,-0.314128407,0.068307757,0.393181357,-0.53889426,0.074522554,0.515789604,-0.611222542,-0.055738436,0.395320621,-0.673135429
4,aragon,0.040224597,0.197778306,-0.336177833,0.188062074,0.562227603,-0.427452687,0.564427871,1.100981905,-0.497878845,2.978418603,2.643629076,0.106795159
5,balancer,0.059995806,0.259615953,-0.359848008,0.33726962,0.657490197,-0.478879266,0.536936048,1.021060938,-0.5540539,0,0,0
6,bancor,0.04072133,0.207397854,-0.327560855,0.212810846,0.657900473,-0.529611443,0.935494583,2.450181353,-0.6310426,2.652649676,4.941964497,-0.740029081
7,band-protocol,0.076317485,0.319195132,-0.332214482,0.465031457,1.108323155,-0.499472103,1.939215136,2.808327486,-0.590011822,25.67150078,11.7106472,8.841968597
8,basic-attention-token,0.024360147,0.141567378,-0.251682478,0.109517402,0.340967742,-0.432061555,0.255382585,0.690157908,-0.494886206,0.226929415,0.579366095,-0.541546492
9,binance-usd,3.42E-05,0.003461194,-0.007435876,6.98E-05,0.003549066,-0.007281222,6.17E-05,0.003560584,-0.007349129,0.000205325,0.003400291,-0.007005298
10,binancecoin,0.047207873,0.183587817,-0.245863255,0.264823956,0.767538761,-0.411584934,0.756101113,1.772308865,-0.474605883,1.828512426,4.780999812,-0.544474824
11,bmax,0.068324044,0.324083101,-0.317907626,0.45134516,1.633128457,-0.476678951,0.864140591,2.656233666,-0.531427495,0.620881123,2.403096914,-0.699887951
12,bytom,0.013921072,0.177641198,-0.310959388,0.056252704,0.333371012,-0.435276953,0.052041512,0.384602692,-0.611859629,-0.166122825,0.283785907,-0.624293015
13,cdai,0.000448591,0.015914573,-0.038438253,0.00100633,0.021283974,-0.058243265,0.000703232,0.026593589,-0.058172402,0.016443839,0.028418466,-0.026179897
14,celsius-degree-token,0.063890571,0.210490364,-0.279881316,0.321539338,0.531977911,-0.453219412,1.368588587,1.517057349,-0.459461994,15.07595582,15.73161899,0.193830079
15,chainlink,0.055995583,0.192536136,-0.280770289,0.264771135,0.511272072,-0.456896925,0.922121496,1.20736542,-0.267719312,5.112128437,2.543111946,0.806564993
16,chiliz,0.05459817,0.291226438,-0.355029131,0.220664438,0.867542794,-0.559371288,0.486243033,1.582392661,-0.601825303,1.25309416,2.4170208,-0.35008393
17,compound-0x,0.054992293,0.248447723,-0.325784675,0.321747216,0.622028082,-0.421296635,0.709266984,1.011659546,-0.399569746,0,0,0
18,compound-ether,0.050405434,0.14558698,-0.296102242,0.277627404,0.317999034,-0.214480612,0.998609088,0.821220871,0.050579496,6.530578264,0.719649377,5.717690304
19,compound-governance-token,0.058757855,0.298397533,-0.24999971,0.221361693,0.537972596,-0.439695372,0.67061385,1.407279846,-0.521853298,0,0,0
